question,answer,model_answer,correct
when was the last time anyone was on the moon,14 December 1972 UTC;December 1972,"December 11, 1972.",f
who wrote he ain't heavy he's my brother lyrics,Bobby Scott;Bob Russell,"Bob Russell wrote the lyrics for ""He Ain't Heavy, He's My Brother.""",t
how many seasons of the bastard executioner are there,one;one season,One season.,t
when did the eagles win last super bowl,2017,The Philadelphia Eagles won their last Super Bowl in 2018.,t
who won last year's ncaa women's basketball,South Carolina,The answer is not provided in the given context.,f
when did the isle of wight become an island,During the last Ice Age,The Isle of Wight became an island naturally over thousands of years due to rising sea levels.,f
love yourself by justin bieber is about who,Rihanna,"""Love Yourself"" by Justin Bieber is about an unnamed ex-lover.",f
who was the ruler of england in 1616,James I,James I,t
what is the hot coffee mod in san andreas,a normally inaccessible mini-game,The Hot Coffee mod in San Andreas is a controversial modification that unlocks explicit sexual content in the video game.,t
what is the maximum data rate for the 802.11a standard select one,54 Mbit/s,54 MBit/s,t
which state is located in the centre of india,Chhattisgarh;Madhya Pradesh,Madhya Pradesh.,t
who sang i ran all the way home,The Impalas,The White Tie Affair.,f
where did the last name wallace come from,a Scottish surname,The origin of the last name Wallace is not clear.,f
who was the actor that played ben stone on law and order,Michael Moriarty,Michael Moriarty,t
who does the voice of nala in the lion king,Niketa Calame;Sally Dworsky;Moira Kelly;Laura Williams,Nala is voiced by Pernille Højgaard.,f
who plays gram on the young and the restless,Max Shippee,Judith Chapman.,f
what is the oath that new citizens take,United States Oath of Allegiance,Oath of allegiance.,t
who is under the mask of darth vader,Anakin Skywalker,Anakin Skywalker.,t
who had a baby at 100 in the bible,Sarah;Abraham,Sarah,t
what age do you need to be to buy a bb gun,18,The age requirement to buy a BB gun varies by country and jurisdiction.,f
ethiopia flight 961 crashes in to the sea,23 November 1996,No.,f
where was percy jackson and the olympians filmed,"Vancouver;Mission, British Columbia",The Percy Jackson & the Olympians series was not filmed.,f
how many seasons of vampire diaries r there,eight;8,8 seasons.,t
how many episodes are there in dragon ball z,291 episodes;291,291 episodes.,t
who plays auggie in the movie the wonder,Jacob Tremblay,Jacob Tremblay.,t
when was the first australian prime minister elected,Sir Edmund Barton;1901,The first Australian Prime Minister was elected in 1901.,t
who plays matthew on anne with an e,R. H. Thomson,Dalmar Abuzeid.,f
who is the girl in green day 21 guns,Lisa Stelly,"There is no girl in Green Day's ""21 Guns"".",f
who plays joker in batman the dark knight,Ledger,Heath Ledger.,t
when was the south asian association for regional co-operation (saarc) formed,December 1985;8 December 1985,1985,t
when was the first hunger games book published,"September 14, 2008;2008",2008,t
who did bette midler portray in the rose,Mary Rose Foster,"Bette Midler portrayed the title character in ""The Rose"".",t
who is the lead singer of depeche mode,David Gahan,Dave Gahan.,t
where did the butchers in the slaughterhouse cases live,New Orleans,The butchers in the slaughterhouse cases lived in the slaughterhouse.,f
who developed the concept of total quality management,W. Edwards Deming,Edward Deming.,t
who wrote cant get you out of my head lyrics,Cathy Dennis and Rob Davis;Rob Davis;Cathy Dennis,Kylie Minogue,f
where does no game no life anime end,the Elkia Federation;the sixth volume,"The anime adaptation of ""No Game No Life"" ends at the conclusion of the first season, which covers the events of the first three volumes of the light novel series.",f
when did taylor swift's first album release,"October 24, 2006;2005","Taylor Swift's first album, ""Taylor Swift,"" was released in 2006.",t
what are the three fifty shades of grey books,Fifty Shades of Grey;Fifty Shades Darker;Fifty Shades Freed,"The three Fifty Shades of Grey books are: Fifty Shades of Grey, Fifty Shades Darker, and Fifty Shades Freed.",t
who has the power (judicial) to make decisions in courts of law,judges,Judges.,t
what are the ranks in the us navy,E-8s senior chief petty officer;E-9s master chief petty officer,The ranks in the US Navy are Commander and Admiral.,f
i was a great islamic scholar and mathematician who died in 1131 ce,Omar Khayyam,There is no information provided in the context about a specific Islamic scholar and mathematician who died in 1131 CE.,f
who is the coach for the ottawa senators,Guy Boucher,D.J. Smith.,f
last episode of what happens to my family,53,"There is no information provided about the last episode of ""My Family.""",f
when is the last time the vikings were in the nfc championship,1976;2017/18,2017,t
what are the colors of the netherlands flag,blue;white;red,"The colors of the Netherlands flag are red, white, and blue.",t
where is lord's prayer found in bible,in the Gospel of Luke,"The Lord's Prayer is found in the Bible in the book of Matthew, chapter 6, verses 9-13.",f
when was the last time oklahoma won a national championship in football,2003;2000,2019.,f
location of the ten commandments in the bible,Exodus;Deuteronomy,Exodus 20,t
where did the allies go after north africa,Italy;the Italian Campaign,Italy.,t
