question,answer,model_answer,correct
when was the last time anyone was on the moon,14 December 1972 UTC;December 1972,"The last time anyone was on the moon was during the Apollo 17 mission, which took place from December 7 to 19, 1972.",t
who wrote he ain't heavy he's my brother lyrics,Bobby Scott;Bob Russell,"The song ""He Ain't Heavy, He's My Brother"" was written by Bobby Scott and Bob Russell. It was originally recorded by Kelly Gordon in 1969 and later became a hit for The Hollies in 1969.",t
how many seasons of the bastard executioner are there,one;one season,"There is only one season of ""The Bastard Executioner."" The show premiered in 2015 and was canceled after its first season.",t
when did the eagles win last super bowl,2017,"The Philadelphia Eagles won their first and only Super Bowl on February 4, 2018.",t
who won last year's ncaa women's basketball,South Carolina,The Stanford Cardinal won the NCAA Women's Basketball Championship in 2021.,f
when did the isle of wight become an island,During the last Ice Age,"The Isle of Wight has been an island for thousands of years. It was formed around 7,000 years ago when rising sea levels separated it from the mainland of England.",f
love yourself by justin bieber is about who,Rihanna,"""Love Yourself"" by Justin Bieber is believed to be about his former girlfriend, Selena Gomez. However, the song's lyrics are open to interpretation and can resonate with anyone going through a difficult breakup or toxic relationship.",f
who was the ruler of england in 1616,James I,The ruler of England in 1616 was King James I.,f
what is the hot coffee mod in san andreas,a normally inaccessible mini-game,"The Hot Coffee mod is a controversial modification for the video game Grand Theft Auto: San Andreas. It was created by modder Patrick Wildenborg and was intended to unlock hidden, explicit sexual content within the game. The mod gained significant attention and controversy when it was discovered, leading to the game's rating being changed from ""Mature"" to ""Adults Only"" by the Entertainment Software Rating Board (ESRB). The controversy resulted in lawsuits, fines, and the removal of the mod from the game.",t
what is the maximum data rate for the 802.11a standard select one,54 Mbit/s,The maximum data rate for the 802.11a standard is 54 Mbps.,t
which state is located in the centre of india,Chhattisgarh;Madhya Pradesh,The state located in the center of India is Madhya Pradesh.,t
who sang i ran all the way home,The Impalas,"The song ""I Ran (So Far Away)"" was performed by the English new wave band A Flock of Seagulls.",f
where did the last name wallace come from,a Scottish surname,"The last name Wallace is of Scottish origin. It is derived from the Old English word ""wylisc"" or ""welisc,"" meaning ""foreigner"" or ""Welshman."" Over time, the name evolved to become Wallace, and it is associated with the Scottish hero Sir William Wallace, who played a significant role in the Wars of Scottish Independence in the 13th century. The name Wallace has since become a common surname in Scotland and has spread to other parts of the world through migration and immigration.",t
who was the actor that played ben stone on law and order,Michael Moriarty,The actor who played Ben Stone on Law & Order was Michael Moriarty.,t
who does the voice of nala in the lion king,Niketa Calame;Sally Dworsky;Moira Kelly;Laura Williams,"In the 2019 live-action adaptation of ""The Lion King,"" the voice of Nala is provided by American actress and singer Beyoncé Knowles-Carter.",f
who plays gram on the young and the restless,Max Shippee,The character of Gram on The Young and the Restless is played by actor Kurt Caceres.,f
what is the oath that new citizens take,United States Oath of Allegiance,"The specific oath that new citizens take can vary depending on the country. However, I will provide you with an example of the oath taken by new citizens in the United States, known as the Oath of Allegiance:

""I hereby declare, on oath, that I absolutely and entirely renounce and abjure all allegiance and fidelity to any foreign prince, potentate, state, or sovereignty, of whom or which I have heretofore been a subject or citizen; that I will support and defend the Constitution and laws of the United States of America against all enemies, foreign and domestic; that I will bear true faith and allegiance to the same; that I will bear arms on behalf of the United States when required by the law; that I will perform noncombatant service in the Armed Forces of the United States when required by the law; that I will perform work of national importance under civilian direction when required by the law; and that I take this obligation freely, without any mental reservation or purpose of evasion; so help me God.""",t
who is under the mask of darth vader,Anakin Skywalker,"Under the mask of Darth Vader is Anakin Skywalker, a former Jedi Knight who turned to the dark side of the Force and became a Sith Lord.",t
who had a baby at 100 in the bible,Sarah;Abraham,"In the Bible, Sarah, the wife of Abraham, is said to have given birth to a son named Isaac when she was 90 years old.",t
what age do you need to be to buy a bb gun,18,"The age requirement to purchase a BB gun can vary depending on the country and local regulations. In the United States, for example, federal law states that you must be at least 18 years old to purchase a BB gun. However, individual states may have their own age restrictions, so it is important to check the specific laws in your area.",t
