question,answer,model_answer,correct
when was the last time anyone was on the moon,14 December 1972 UTC;December 1972,1972,f
who wrote he ain't heavy he's my brother lyrics,Bobby Scott;Bob Russell,Bob Russell and Bobby Scott.,t
how many seasons of the bastard executioner are there,one;one season,One season.,t
when did the eagles win last super bowl,2017,2018,t
who won last year's ncaa women's basketball,South Carolina,Baylor.,f
when did the isle of wight become an island,During the last Ice Age,After the last Ice Age.,t
love yourself by justin bieber is about who,Rihanna,Justin Bieber himself.,f
who was the ruler of england in 1616,James I,James I,t
what is the hot coffee mod in san andreas,a normally inaccessible mini-game,A mod that adds a controversial minigame to Grand Theft Auto: San Andreas.,t
what is the maximum data rate for the 802.11a standard select one,54 Mbit/s,54 Mbps.,t
which state is located in the centre of india,Chhattisgarh;Madhya Pradesh,Madhya Pradesh.,t
who sang i ran all the way home,The Impalas,Johnnie Taylor.,f
where did the last name wallace come from,a Scottish surname,Scotland.,t
who was the actor that played ben stone on law and order,Michael Moriarty,Michael Moriarty.,t
who does the voice of nala in the lion king,Niketa Calame;Sally Dworsky;Moira Kelly;Laura Williams,Beyoncé.,f
who plays gram on the young and the restless,Max Shippee,Camryn Grimes.,t
what is the oath that new citizens take,United States Oath of Allegiance,Pledge of Allegiance.,f
who is under the mask of darth vader,Anakin Skywalker,Anakin Skywalker.,t
who had a baby at 100 in the bible,Sarah;Abraham,Sarah.,t
what age do you need to be to buy a bb gun,18,18.,t
ethiopia flight 961 crashes in to the sea,23 November 1996,1996,f
where was percy jackson and the olympians filmed,"Vancouver;Mission, British Columbia","Vancouver, Canada.",t
how many seasons of vampire diaries r there,eight;8,8.,t
how many episodes are there in dragon ball z,291 episodes;291,291.,t
who plays auggie in the movie the wonder,Jacob Tremblay,Jacob Tremblay.,t
when was the first australian prime minister elected,Sir Edmund Barton;1901,1901.,t
who plays matthew on anne with an e,R. H. Thomson,Dalmar Abuzeid.,f
who is the girl in green day 21 guns,Lisa Stelly,"No specific girl is associated with the song ""21 Guns"" by Green Day.",f
who plays joker in batman the dark knight,Ledger,Heath Ledger.,t
when was the south asian association for regional co-operation (saarc) formed,December 1985;8 December 1985,1985,f
when was the first hunger games book published,"September 14, 2008;2008",2008,t
who did bette midler portray in the rose,Mary Rose Foster,Janis Joplin.,f
who is the lead singer of depeche mode,David Gahan,Dave Gahan.,t
where did the butchers in the slaughterhouse cases live,New Orleans,United States.,f
who developed the concept of total quality management,W. Edwards Deming,W. Edwards Deming.,t
who wrote cant get you out of my head lyrics,Cathy Dennis and Rob Davis;Rob Davis;Cathy Dennis,Kylie Minogue.,f
where does no game no life anime end,the Elkia Federation;the sixth volume,Volume 6 of the light novel series.,t
when did taylor swift's first album release,"October 24, 2006;2005",2006,f
what are the three fifty shades of grey books,Fifty Shades of Grey;Fifty Shades Darker;Fifty Shades Freed,"""Fifty Shades of Grey, Fifty Shades Darker, Fifty Shades Freed.""",t
who has the power (judicial) to make decisions in courts of law,judges,Judges.,t
what are the ranks in the us navy,E-8s senior chief petty officer;E-9s master chief petty officer,"Enlisted, Warrant Officer, Officer.",f
i was a great islamic scholar and mathematician who died in 1131 ce,Omar Khayyam,Al-Khwarizmi.,f
who is the coach for the ottawa senators,Guy Boucher,D.J. Smith.,f
last episode of what happens to my family,53,Unknown.,f
when is the last time the vikings were in the nfc championship,1976;2017/18,2017.,t
what are the colors of the netherlands flag,blue;white;red,"Red, white, and blue.",t
where is lord's prayer found in bible,in the Gospel of Luke,Matthew 6:9-13,f
when was the last time oklahoma won a national championship in football,2003;2000,2000.,f
location of the ten commandments in the bible,Exodus;Deuteronomy,Exodus 20,f
where did the allies go after north africa,Italy;the Italian Campaign,Italy.,f
